sequence	20180222-87YYrdRD1	20180130-87YYrdRD1	20180130-87YYrdRD2	20180222-87YYrfRD1	20180130-87YYrfRD1	20180130-87YYrfRD2	control_coef	test_coef	control_CPM	test_CPM	sd_test	sd_control	logFC	PValue	QValue
(Galf)3-[80].SDB29	214	528	538	308	443	391	-4.702484289	-4.402087699	9072.709847	12251.73525	1774.254762	1893.960247	0.43338067	0.273087007	0.531141701688073
(Galf)3-[80].SDB28	221	981	1103	368	570	331	-4.582712257	-3.891022169	10227.12006	20424.45811	7877.127429	3556.611433	0.99789786	0.059923958	0.276171284695652
(Galf)3-[140].SDB35	115	41	83	244	148	158	-5.318299506	-5.836738398	4901.080903	2918.345601	2659.074697	3417.309573	-0.747949219	0.352170123	0.592540206952381
(Galf)3-[270].SDB26	334	2391	3409	233	1000	759	-4.260825886	-2.971160845	14110.64381	51243.7897	29460.08168	5407.710424	1.86059336	0.027291396	0.206634855428571
(Galf)3-[1190].SDB27	208	786	1025	286	352	284	-4.888363916	-4.023372551	7533.738225	17892.51963	6084.998836	2549.932491	1.247918753	0.017757324	0.198134352
(Galf)4-[80].SDB10	93	257	244	225	584	431	-4.68457484	-5.176326806	9236.660834	5648.717191	1147.108033	1738.243713	-0.709448122	0.080605298	0.302360233655172
(Galf)4-[1380].SDB6	346	905	1397	534	665	1055	-4.046132942	-3.731298458	17489.87841	23961.70237	5645.248021	4089.472201	0.45421015	0.289013051	0.551988890198198
(Galf)4-[50].SDB11	52	169	290	129	679	538	-4.66935645	-5.409296643	9378.302991	4474.786479	1687.862724	4275.52876	-1.067508046	0.062160381	0.279056400408163
(Galf)4-[50].SDB9	45	386	522	61	360	462	-5.111828306	-4.835405764	6025.057202	7943.464502	4828.009346	3427.447923	0.39879343	0.570769679	0.765310929159763
(Galf)4-[50].SDB8	91	884	1015	231	1190	1137	-4.032485265	-4.093277684	17730.21088	16684.45745	10397.24435	8094.508465	-0.087704922	0.893427827	0.94232188718408
(Galf)4-[650].SDB2	145	775	1023	328	624	630	-4.4217847	-4.092955071	12012.77394	16689.84095	7886.74094	101.5634699	0.474400875	0.321552018	0.57839484692437
