sequence	20180222-87YYrdRA1	20180130-87YYrdRA1	20180130-87YYrdRA2	20180222-87YYrfRA1	20180130-87YYrfRA1	20180130-87YYrfRA2	control_coef	test_coef	control_CPM	test_CPM	sd_test	sd_control	logFC	PValue	QValue
LNT-NAc-[1490].SDB58	216	123	103	231	155	101	-5.538828227	-5.731465929	3931.130534	3242.320735	1555.243061	787.8779876	-0.277917458	0.596825854	0.765310929159763
Galf-[160].SDB84	491	472	470	484	478	287	-4.566531138	-4.572203639	10393.95245	10335.15965	946.496823	2492.695724	-0.008183689	0.980934229	0.988548599090047
Galf-[110].SDB86	114	277	357	149	199	260	-5.22411675	-5.245180435	5385.114261	5272.870197	2375.172972	2451.664272	-0.030388474	0.956496226	0.984355339378641
Galf-[140].SDB82	97	172	224	39	88	132	-6.043802057	-5.656715338	2372.521282	3493.974595	1165.346923	1598.415504	0.55844809	0.384434325	0.608209529104478
Galf-[160].SDB83	260	270	289	245	254	222	-5.093537737	-5.134696882	6136.272923	5888.836249	148.9411482	1229.670883	-0.059380094	0.886817457	0.94002650442
Galf-[840].SDB81	30	38	53	82	45	40	-6.609360518	-7.053033705	1347.6937	864.781482	197.4680676	211.2130909	-0.640085107	0.14816855	0.3926466575
Galf-[1300].SDB80	40	35	121	83	62	62	-6.361347168	-6.582938221	1727.038533	1383.777472	945.3974947	125.6257336	-0.319688313	0.541081513	0.749733861150327
(Galf)3-[50].SDB34	245	191	278	258	186	163	-5.296894287	-5.270979443	5007.120461	5138.575167	933.9440122	137.8704989	0.037387218	0.932504891	0.978668499465347
(Galf)3-[80].SDB29	574	644	698	755	375	226	-4.548118833	-4.287133265	10587.10177	13744.27006	454.1464375	3918.380053	0.376522585	0.357853869	0.59269547053125
(Galf)3-[80].SDB28	454	1060	1046	861	348	308	-4.436416371	-4.010368578	11838.28662	18126.7129	6597.970633	4170.300667	0.614657039	0.180291851	0.439331866804598
(Galf)3-[140].SDB35	283	120	211	465	148	99	-5.228556538	-5.409588036	5361.258491	4473.482745	2014.624847	3201.06536	-0.261173244	0.655251571	0.793790474582857
(Galf)3-[270].SDB26	694	2648	2838	777	876	677	-3.919966332	-3.137289874	19841.76276	43400.25882	23647.2013	4634.027654	1.129163445	0.048578537	0.264067944717949
(Galf)3-[1190].SDB27	399	1068	1053	686	418	350	-4.442016534	-4.028238262	11772.17557	17805.67127	7423.156004	1403.186499	0.596955862	0.184385945	0.444202503863636
(Galf)4-[80].SDB10	574	519	367	648	371	344	-4.506797887	-4.545985387	11033.73493	10609.71289	2943.444825	1293.695823	-0.056535612	0.874706947	0.936554912949495
(Galf)4-[1380].SDB6	657	1340	1334	879	642	450	-4.130211821	-3.745000327	16079.4725	23635.62131	7290.099261	2297.12504	0.555742711	0.145058088	0.389269805772152
(Galf)4-[50].SDB11	337	438	498	424	534	384	-4.466384656	-4.700111866	11488.77674	9094.259708	1178.086635	3296.240381	-0.337197087	0.357603935	0.59269547053125
(Galf)4-[50].SDB9	143	477	515	143	254	188	-5.271234103	-4.829969738	5137.266743	7986.762961	4042.596616	2175.613925	0.636609912	0.266528161	0.530001886205608
(Galf)4-[50].SDB8	480	885	1044	647	649	517	-4.178969046	-4.070144345	15314.28775	17074.92364	5283.736016	2736.849999	0.157000856	0.675957491	0.800575352469274
(Galf)4-[650].SDB2	270	938	952	522	250	260	-4.795291631	-4.186350526	8268.587103	15201.66184	7739.102874	1637.366232	0.878516312	0.087650959	0.30462300504918
